,0
0,Rachel ordered two dark tables_1.mp4
1,Doris bought seven small windows_1.mp4
2,Lucy got twelve pretty toys_1.mp4
3,Thomas sees nineteen cheap houses_1.mp4
4,Lucy prefers nineteen large desks_1.mp4
5,Peter gives two old flowers_1.mp4
6,Doris prefers nine large desks_1.mp4
7,William sold fifteen small houses_1.mp4
8,Allen bought three white tables_1.mp4
9,Steven has three pretty windows_1.mp4
10,Peter gives two old flowers_1.mp4
11,William bought sixty red desks_1.mp4
12,Nina sold nineteen cheap desks_1.mp4
13,Kathy prefers four small rings_1.mp4
14,Steven bought seven large flowers_1.mp4
15,William ordered nineteen green toys_1.mp4
16,Peter wants twelve red windows_1.mp4
17,Doris kept three green tables_1.mp4
18,Allen got nineteen large rings_1.mp4
19,Nina wants three white tables_1.mp4
20,Steven sees seven pretty spoons_1.mp4
21,Rachel prefers four white toys_1.mp4
22,Thomas wants eight large spoons_1.mp4
23,Doris got two large desks_1.mp4
24,Kathy prefers eight heavy houses_1.mp4
25,Steven has four red toys_1.mp4
26,Rachel ordered fifteen green rings_1.mp4
27,Thomas kept seven cheap flowers_1.mp4
28,Allen ordered three large flowers_1.mp4
29,Rachel got nine red spoons_1.mp4
30,Peter gives fifteen dark windows_1.mp4
31,Lucy wants two red sofas_1.mp4
32,Rachel prefers twelve heavy flowers_1.mp4
33,William sees three white toys_1.mp4
34,Doris kept four small chairs_1.mp4
35,Rachel sees nine green windows_1.mp4
36,Kathy got seven dark spoons_1.mp4
37,Peter wants sixty large chairs_1.mp4
38,Allen has four white desks_1.mp4
39,Doris kept sixty dark rings_1.mp4
40,Doris ordered two old toys_1.mp4
41,Allen sees four cheap tables_1.mp4
42,Doris ordered two old toys_1.mp4
43,Nina bought nineteen white houses_1.mp4
44,Thomas sold nine cheap tables_1.mp4
45,Allen gives eight dark rings_1.mp4
46,Lucy prefers fifteen heavy sofas_1.mp4
47,Peter got nineteen green desks_1.mp4
