,Column1,Column2,Column3,Column4,Column5
0,Nina,wants,three,heavy,flowers
1,Peter,prefers,four,large,rings
2,Lucy,got,twelve,pretty,toys
3,Thomas,sees,nineteen,cheap,houses
4,Lucy,prefers,nineteen,large,desks
5,Lucy,got,three,green,spoons
6,Doris,prefers,nine,large,desks
7,William,sold,fifteen,small,houses
8,Allen,bought,three,white,tables
9,Thomas,prefers,nineteen,white,spoons
10,Lucy,got,four,heavy,toys
11,William,bought,sixty,red,desks
12,Nina,sold,nineteen,cheap,desks
13,Doris,got,fifteen,cheap,desks
14,Lucy,sees,eight,pretty,sofas
15,Lucy,got,four,heavy,toys
16,Peter,wants,twelve,red,windows
17,Thomas,has,sixty,dark,houses
18,Allen,got,nineteen,large,rings
19,Doris,has,four,old,sofas
20,William,bought,two,heavy,windows
21,Rachel,prefers,four,white,toys
22,Thomas,wants,eight,large,spoons
23,Peter,wants,twelve,small,tables
24,Kathy,prefers,eight,heavy,houses
25,Peter,gives,sixty,large,tables
26,Rachel,ordered,fifteen,green,rings
27,Thomas,kept,seven,cheap,flowers
28,Steven,ordered,seven,small,chairs
29,Allen,got,three,green,chairs
30,Peter,gives,fifteen,dark,windows
31,Kathy,gives,seven,old,desks
32,Thomas,has,sixty,dark,houses
33,William,sees,three,white,toys
34,Doris,kept,four,small,chairs
35,Rachel,sees,nine,green,windows
36,Kathy,got,seven,dark,spoons
37,Peter,wants,sixty,large,chairs
38,Doris,sees,twelve,red,toys
39,Doris,kept,sixty,dark,rings
40,Peter,got,nine,green,sofas
41,Allen,sees,four,cheap,tables
42,William,prefers,sixty,small,sofas
43,Steven,got,seven,green,flowers
44,Thomas,sold,nine,cheap,tables
45,Allen,gives,eight,dark,rings
46,Lucy,prefers,fifteen,heavy,sofas
47,Kathy,bought,three,small,toys
