,Column1,Column2,Column3,Column4,Column5
0,Allen,has,seven,pretty,toys
1,William,prefers,sixty,pretty,flowers
2,Nina,gives,twelve,old,sofas
3,Lucy,sold,fifteen,red,flowers
4,Kathy,has,four,small,windows
5,Allen,kept,nineteen,heavy,toys
6,Allen,sold,seven,old,spoons
7,Nina,wants,two,large,rings
8,Allen,kept,eight,red,toys
9,Kathy,sold,twelve,green,chairs
10,Steven,prefers,seven,pretty,sofas
11,Thomas,gives,three,small,houses
12,Doris,got,seven,old,windows
13,Thomas,ordered,three,dark,desks
14,Rachel,wants,eight,green,rings
15,Doris,sees,two,heavy,sofas
16,Peter,sold,nineteen,green,toys
17,Allen,sees,three,small,rings
18,Rachel,got,nine,heavy,windows
19,Peter,ordered,two,dark,sofas
20,Lucy,has,seven,green,toys
21,Kathy,prefers,eight,red,spoons
22,Lucy,has,two,small,flowers
23,Nina,got,sixty,large,sofas
24,Peter,bought,two,green,houses
25,Allen,got,seven,heavy,desks
26,William,sees,nineteen,white,flowers
27,Allen,gives,seven,cheap,chairs
28,Thomas,prefers,nine,cheap,spoons
29,Peter,has,sixty,heavy,houses
30,Allen,got,eight,pretty,flowers
31,Kathy,kept,three,green,toys
32,William,sold,three,old,windows
33,Steven,sees,three,white,chairs
34,Kathy,bought,four,dark,rings
35,Peter,got,three,pretty,flowers
36,Rachel,got,sixty,pretty,flowers
37,Thomas,sees,nineteen,cheap,houses
38,Doris,sold,nineteen,green,desks
39,William,got,twelve,large,spoons
40,Nina,gives,two,cheap,rings
41,Steven,sees,three,white,chairs
42,Lucy,has,four,old,flowers
43,William,bought,four,red,tables
44,Lucy,gives,fifteen,green,flowers
45,Rachel,wants,twelve,white,sofas
46,Steven,has,three,pretty,windows
47,Peter,wants,nineteen,red,windows
