,0
0,Allen has seven pretty toys_1.mp4
1,William prefers sixty pretty flowers_1.mp4
2,Nina gives twelve old sofas_1.mp4
3,Lucy sold fifteen red flowers_1.mp4
4,Kathy has four small windows_1.mp4
5,Allen kept nineteen heavy toys_1.mp4
6,Allen wants fifteen green tables_1.mp4
7,Nina wants two large rings_1.mp4
8,William sees nineteen white flowers_1.mp4
9,Lucy bought sixty old windows_1.mp4
10,Peter ordered four heavy tables_1.mp4
11,Peter ordered two white windows_1.mp4
12,Peter sees four large chairs_1.mp4
13,Thomas ordered three dark desks_1.mp4
14,Rachel wants eight green rings_1.mp4
15,Doris sees two heavy sofas_1.mp4
16,Peter sold nineteen green toys_1.mp4
17,Steven prefers eight red chairs_1.mp4
18,Rachel got nine heavy windows_1.mp4
19,Kathy wants nineteen old flowers_1.mp4
20,Allen gives eight dark rings_1.mp4
21,Kathy prefers eight red spoons_1.mp4
22,Rachel sees nine green windows_1.mp4
23,Nina got sixty large sofas_1.mp4
24,Peter bought two green houses_1.mp4
25,Allen got seven heavy desks_1.mp4
26,William sees nineteen white flowers_1.mp4
27,Allen gives seven cheap chairs_1.mp4
28,Steven ordered seven dark desks_1.mp4
29,Peter has sixty heavy houses_1.mp4
30,Allen got eight pretty flowers_1.mp4
31,Kathy kept three green toys_1.mp4
32,Peter has nine small toys_1.mp4
33,Steven sees three white chairs_1.mp4
34,Kathy bought four dark rings_1.mp4
35,Lucy wants two red sofas_1.mp4
36,Allen kept nineteen heavy toys_1.mp4
37,Thomas sees nineteen cheap houses_1.mp4
38,Kathy prefers eight heavy houses_1.mp4
39,William got twelve large spoons_1.mp4
40,Nina gives two cheap rings_1.mp4
41,Steven sees three white chairs_1.mp4
42,William prefers nine old rings_1.mp4
43,Doris prefers eight small desks_1.mp4
44,Lucy gives fifteen green flowers_1.mp4
45,Nina kept nine cheap houses_1.mp4
46,Steven has three pretty windows_1.mp4
47,Peter sees two old spoons_1.mp4
