,0
0,Steven sees nineteen dark sofas_1.mp4
1,Thomas sold nine large desks_1.mp4
2,Steven prefers three pretty desks_1.mp4
3,Peter got two cheap houses_1.mp4
4,Rachel wants seven large chairs_1.mp4
5,Thomas sees eight green rings_1.mp4
6,Allen sold seven old spoons_1.mp4
7,Doris got fifteen cheap desks_1.mp4
8,Allen kept eight red toys_1.mp4
9,Kathy sold twelve green chairs_1.mp4
10,Steven prefers seven pretty sofas_1.mp4
11,Thomas gives three small houses_1.mp4
12,Doris got seven old windows_1.mp4
13,Allen prefers two red tables_1.mp4
14,Steven gives fifteen white toys_1.mp4
15,William has nine small flowers_1.mp4
16,Peter ordered two dark tables_1.mp4
17,Allen sees three small rings_1.mp4
18,Nina sold fifteen large desks_1.mp4
19,Peter ordered two dark sofas_1.mp4
20,Lucy has seven green toys_1.mp4
21,William ordered nineteen old toys_1.mp4
22,Lucy has two small flowers_1.mp4
23,Allen kept three heavy desks_1.mp4
24,Doris wants eight old tables_1.mp4
25,Nina sold sixty large rings_1.mp4
26,Lucy ordered three red spoons_1.mp4
27,Thomas kept fifteen dark windows_1.mp4
28,Thomas prefers nine cheap spoons_1.mp4
29,Nina sees nineteen old chairs_1.mp4
30,William got three dark houses_1.mp4
31,Lucy gives fifteen white sofas_1.mp4
32,William sold three old windows_1.mp4
33,Peter gives eight large desks_1.mp4
34,Nina sold twelve old windows_1.mp4
35,Peter got three pretty flowers_1.mp4
36,Rachel got sixty pretty flowers_1.mp4
37,Thomas prefers fifteen small houses_1.mp4
38,Doris sold nineteen green desks_1.mp4
39,Thomas ordered nine dark flowers_1.mp4
40,Peter kept sixty pretty toys_1.mp4
41,Rachel wants fifteen red windows_1.mp4
42,Lucy has four old flowers_1.mp4
43,William bought four red tables_1.mp4
44,Kathy got seven large chairs_1.mp4
45,Rachel wants twelve white sofas_1.mp4
46,Allen kept twelve white tables_1.mp4
47,Peter wants nineteen red windows_1.mp4
