,0
0,Steven prefers seven pretty sofas_1.mp4
1,Peter wants two white chairs_1.mp4
2,Nina gives two pretty rings_1.mp4
3,Allen bought seven green desks_1.mp4
4,Peter has seven pretty desks_1.mp4
5,Thomas kept fifteen dark windows_1.mp4
6,Rachel wants fifteen red windows_1.mp4
7,Nina kept four pretty houses_1.mp4
8,Thomas sees seven green houses_1.mp4
9,Peter has seven white flowers_1.mp4
10,Rachel sold three red windows_1.mp4
11,Peter has fifteen white windows_1.mp4
12,William bought four red tables_1.mp4
13,Thomas got nineteen heavy desks_1.mp4
14,Allen prefers four small flowers_1.mp4
15,Allen sees fifteen red tables_1.mp4
16,Lucy got four heavy toys_1.mp4
17,Steven gives fifteen white toys_1.mp4
18,Nina sold two heavy desks_1.mp4
19,Thomas got twelve large toys_1.mp4
20,Thomas bought three red windows_1.mp4
21,Thomas gives twelve heavy toys_1.mp4
22,Steven ordered fifteen white spoons_1.mp4
23,William bought two heavy windows_1.mp4
24,Rachel prefers fifteen large houses_1.mp4
25,Thomas got three dark windows_1.mp4
26,Peter wants nineteen red windows_1.mp4
27,Peter ordered three white houses_1.mp4
28,Kathy ordered two green desks_1.mp4
29,Doris has four old sofas_1.mp4
30,Lucy gives fifteen white sofas_1.mp4
31,William ordered three old desks_1.mp4
32,Nina got twelve white toys_1.mp4
33,Steven sees four dark spoons_1.mp4
34,Lucy gives nineteen pretty desks_1.mp4
35,Nina has fifteen white spoons_1.mp4
36,Allen prefers four small sofas_1.mp4
37,Rachel got eight white desks_1.mp4
38,Nina gives sixty small desks_1.mp4
39,Peter has seven white flowers_1.mp4
40,William sees sixty cheap chairs_1.mp4
41,Lucy has four white chairs_1.mp4
42,Peter bought nineteen cheap houses_1.mp4
43,Steven prefers fifteen red spoons_1.mp4
44,Lucy ordered four cheap chairs_1.mp4
45,Peter wants two white chairs_1.mp4
46,Rachel bought eight dark windows_1.mp4
47,Thomas gives twelve heavy toys_1.mp4
