,Column1,Column2,Column3,Column4,Column5
0,Rachel,wants,fifteen,red,windows
1,Kathy,gives,three,small,desks
2,Nina,got,twelve,white,toys
3,Peter,bought,nineteen,cheap,houses
4,William,bought,two,green,spoons
5,Allen,prefers,two,old,desks
6,Thomas,has,four,pretty,rings
7,William,sees,sixty,cheap,flowers
8,Steven,gives,three,dark,chairs
9,Peter,sold,four,large,flowers
10,William,got,three,small,toys
11,Peter,sold,four,heavy,windows
12,Kathy,gives,nineteen,red,spoons
13,Kathy,wants,sixty,old,toys
14,Rachel,sees,three,pretty,chairs
15,Steven,got,seven,green,desks
16,Thomas,prefers,nine,cheap,spoons
17,Lucy,gives,fifteen,white,sofas
18,Allen,prefers,four,small,sofas
19,Lucy,sold,fifteen,cheap,spoons
20,William,ordered,four,heavy,windows
21,Allen,kept,nine,large,tables
22,Lucy,got,three,red,desks
23,Lucy,prefers,twelve,large,sofas
24,Rachel,sold,three,red,windows
25,Nina,has,two,heavy,tables
26,Allen,wants,nineteen,white,desks
27,Doris,ordered,three,red,chairs
28,Peter,has,nineteen,red,spoons
29,William,sold,three,old,windows
30,Thomas,wants,three,cheap,spoons
31,Lucy,sees,eight,pretty,sofas
32,Nina,kept,four,pretty,houses
33,Kathy,prefers,sixty,cheap,desks
34,William,gives,nineteen,dark,rings
35,Doris,ordered,twelve,old,flowers
36,Allen,sold,nine,heavy,tables
37,William,gives,nine,green,houses
38,Peter,sees,sixty,large,spoons
39,Rachel,wants,twelve,white,sofas
40,Thomas,got,three,dark,windows
41,Kathy,gives,nine,green,rings
42,Doris,ordered,seven,red,rings
43,William,has,nine,small,flowers
44,William,prefers,sixty,small,sofas
45,Thomas,prefers,nine,white,tables
46,Steven,bought,fifteen,large,spoons
47,Doris,got,three,old,toys
