,0,1,2,3,4
0,Nina,has,sixty,green,chairs
1,Allen,prefers,four,heavy,flowers
2,Doris,has,nine,red,houses
3,Lucy,sees,eight,pretty,sofas
4,Rachel,sold,seven,white,toys
5,Peter,ordered,twelve,red,windows
6,Kathy,bought,eight,green,flowers
7,Thomas,sold,fifteen,white,spoons
8,Allen,has,four,pretty,desks
9,Doris,got,fifteen,large,sofas
10,Peter,has,nineteen,white,windows
11,Steven,bought,four,small,tables
12,Thomas,sold,twelve,heavy,toys
13,Doris,got,seven,cheap,desks
14,Steven,sold,fifteen,pretty,houses
15,Doris,has,seven,green,tables
16,Lucy,bought,twelve,green,desks
17,Peter,gives,twelve,small,desks
18,William,ordered,nine,dark,windows
19,Kathy,bought,sixty,red,chairs
20,Nina,has,two,heavy,tables
21,Peter,got,three,pretty,flowers
22,Rachel,has,fifteen,white,desks
23,Thomas,prefers,nine,cheap,spoons
24,Thomas,ordered,nine,heavy,sofas
25,Steven,prefers,fifteen,red,spoons
26,Peter,bought,nineteen,dark,rings
27,Kathy,got,twelve,heavy,flowers
28,Doris,sees,three,old,desks
29,Allen,prefers,two,red,tables
30,Rachel,ordered,four,pretty,spoons
31,Steven,bought,seven,white,spoons
32,William,bought,three,green,desks
33,Peter,has,nineteen,red,spoons
34,Lucy,got,fifteen,small,flowers
35,Rachel,sold,seven,green,tables
36,Lucy,sees,eight,pretty,sofas
37,William,ordered,nine,dark,windows
38,William,ordered,four,heavy,windows
39,Steven,prefers,fifteen,red,spoons
40,Lucy,wants,nine,large,toys
41,Lucy,sees,four,large,spoons
42,Doris,sold,twelve,old,sofas
43,Kathy,wants,fifteen,green,tables
44,Steven,gives,nine,red,desks
45,Peter,got,seven,white,windows
46,Thomas,wants,three,cheap,spoons
47,Lucy,has,two,small,flowers
48,Steven,sold,nine,pretty,windows
49,William,got,sixty,dark,chairs
50,Kathy,ordered,eight,old,sofas
51,William,wants,three,large,desks
52,Rachel,wants,fifteen,red,spoons
53,Nina,sees,nineteen,green,houses
54,Kathy,bought,sixty,red,chairs
55,Peter,got,three,pretty,flowers
56,Kathy,kept,nine,small,rings
57,Lucy,gives,seven,small,houses
58,Thomas,has,two,pretty,flowers
59,Lucy,got,four,heavy,toys
