,Column1,Column2,Column3,Column4,Column5
0,Doris,wants,twelve,large,spoons
1,Allen,sees,twelve,large,chairs
2,Peter,ordered,eight,white,toys
3,Rachel,sees,nine,green,windows
4,Kathy,prefers,seven,green,rings
5,Kathy,kept,seven,green,flowers
6,Nina,has,fifteen,white,spoons
7,Thomas,gives,three,small,houses
8,Lucy,prefers,nineteen,red,sofas
9,Kathy,got,twelve,white,windows
10,Steven,ordered,seven,small,houses
11,Peter,kept,two,old,desks
12,Peter,sees,seven,large,desks
13,William,kept,three,small,spoons
14,Allen,prefers,nine,dark,chairs
15,William,kept,nine,small,windows
16,Peter,got,fifteen,old,tables
17,Thomas,ordered,eight,white,houses
18,Lucy,kept,two,green,chairs
19,William,wants,nine,dark,chairs
20,Lucy,sees,seven,heavy,chairs
21,William,bought,two,green,spoons
22,Steven,sold,nine,pretty,windows
23,Doris,prefers,sixty,green,houses
24,Kathy,ordered,eight,old,sofas
25,Thomas,wants,three,cheap,spoons
26,William,prefers,sixty,pretty,flowers
27,Allen,kept,eight,red,toys
28,Nina,sold,two,small,houses
29,Doris,wants,two,dark,tables
30,Rachel,got,three,large,chairs
31,Rachel,got,two,red,toys
32,Doris,wants,fifteen,pretty,houses
33,Nina,sold,nineteen,cheap,desks
34,Allen,ordered,three,large,flowers
35,Doris,wants,two,dark,tables
36,Doris,prefers,nine,large,desks
37,Peter,bought,eight,pretty,flowers
38,Steven,gives,nine,red,desks
39,Doris,gives,two,large,sofas
40,Rachel,sees,nine,pretty,desks
41,Peter,bought,seven,cheap,flowers
42,Kathy,prefers,eight,red,spoons
43,Thomas,kept,two,red,windows
44,Kathy,gives,twelve,cheap,tables
45,William,sold,nine,red,desks
46,Thomas,sees,eight,green,rings
47,Lucy,prefers,fifteen,heavy,sofas
