,0
0,Doris wants twelve large spoons_1.mp4
1,William bought sixty red desks_1.mp4
2,Lucy sold nineteen small houses_1.mp4
3,Rachel sees nine green windows_1.mp4
4,Nina got three dark sofas_1.mp4
5,Steven bought twelve cheap desks_1.mp4
6,Nina prefers twelve large houses_1.mp4
7,Doris kept sixty dark rings_1.mp4
8,Lucy prefers nineteen red sofas_1.mp4
9,Kathy got twelve white windows_1.mp4
10,Peter sees two old spoons_1.mp4
11,Peter kept two old desks_1.mp4
12,Thomas wants nineteen red windows_1.mp4
13,Lucy got twelve pretty toys_1.mp4
14,Allen prefers nine dark chairs_1.mp4
15,Peter got twelve small spoons_1.mp4
16,Doris sees three green desks_1.mp4
17,Thomas ordered eight white houses_1.mp4
18,Steven gives two red toys_1.mp4
19,William wants nine dark chairs_1.mp4
20,Lucy sees seven heavy chairs_1.mp4
21,Allen kept nineteen small rings_1.mp4
22,Lucy got four white toys_1.mp4
23,Doris prefers sixty green houses_1.mp4
24,William gives twelve heavy flowers_1.mp4
25,William got twelve large spoons_1.mp4
26,William prefers sixty pretty flowers_1.mp4
27,Nina got twelve old windows_1.mp4
28,Lucy gives seven green sofas_1.mp4
29,Doris wants two dark tables_1.mp4
30,Thomas sees three cheap rings_1.mp4
31,Nina prefers seven large sofas_1.mp4
32,Doris wants fifteen pretty houses_1.mp4
33,Nina sold nineteen cheap desks_1.mp4
34,Allen ordered three large flowers_1.mp4
35,Doris wants two dark tables_1.mp4
36,Doris prefers nine large desks_1.mp4
37,Peter bought eight pretty flowers_1.mp4
38,William kept two small chairs_1.mp4
39,Allen has nineteen old tables_1.mp4
40,Thomas wants three small rings_1.mp4
41,Peter bought seven cheap flowers_1.mp4
42,Kathy prefers eight red spoons_1.mp4
43,Thomas kept two red windows_1.mp4
44,Doris ordered two old toys_1.mp4
45,William sold nine red desks_1.mp4
46,Peter got three dark spoons_1.mp4
47,Lucy prefers fifteen heavy sofas_1.mp4
