,0
0,mismatch left
1,match left
2,mismatch left
3,mismatch left
4,mismatch right
5,mismatch right
6,mismatch right
7,mismatch left
8,match right
9,mismatch left
10,match right
11,mismatch left
12,match right
13,match left
14,mismatch right
15,match right
16,mismatch right
17,mismatch left
18,match right
19,match left
20,mismatch left
21,match left
22,match left
23,match right
24,match left
25,mismatch right
26,match right
27,mismatch right
28,mismatch right
29,match right
30,mismatch left
31,match left
32,match right
33,match left
34,match left
35,mismatch right
36,mismatch left
37,match left
38,match right
39,mismatch left
40,match right
41,match right
42,mismatch left
43,mismatch right
44,match left
45,mismatch right
46,mismatch right
47,match left
