,0
0,mismatch right
1,match right
2,match right
3,match left
4,mismatch left
5,match left
6,match right
7,mismatch left
8,mismatch right
9,match right
10,match left
11,mismatch right
12,match left
13,mismatch left
14,match left
15,match left
16,mismatch right
17,mismatch left
18,mismatch left
19,mismatch left
20,mismatch right
21,mismatch left
22,mismatch right
23,mismatch left
24,match left
25,mismatch right
26,match left
27,match right
28,match right
29,match right
30,match right
31,mismatch right
32,mismatch left
33,match right
34,match right
35,mismatch right
36,mismatch left
37,match left
38,mismatch right
39,match left
40,mismatch left
41,match left
42,match right
43,match right
44,mismatch right
45,match left
46,mismatch right
47,mismatch left
