,Column1,Column2,Column3,Column4,Column5
0,Allen,prefers,four,small,flowers
1,Peter,has,four,green,windows
2,William,got,three,small,toys
3,Doris,kept,four,red,desks
4,Peter,sees,three,green,houses
5,Kathy,kept,three,large,toys
6,Doris,sold,three,red,sofas
7,Nina,got,three,old,houses
8,Nina,sold,nineteen,heavy,rings
9,Thomas,wants,three,old,sofas
10,Doris,wants,eight,old,tables
11,William,got,twelve,large,windows
12,Thomas,prefers,fifteen,pretty,rings
13,Peter,got,three,pretty,flowers
14,Allen,ordered,twelve,heavy,rings
15,Steven,sees,four,dark,spoons
16,William,kept,sixty,heavy,rings
17,Peter,sold,fifteen,cheap,spoons
18,Kathy,bought,three,red,toys
19,Doris,kept,seven,large,sofas
20,Allen,sold,three,dark,spoons
21,Lucy,got,seven,large,rings
22,Peter,got,twelve,old,desks
23,Doris,bought,four,small,houses
24,Peter,has,sixty,heavy,houses
25,Kathy,prefers,four,small,rings
26,Peter,ordered,seven,old,sofas
27,Thomas,wants,four,pretty,rings
28,Peter,got,three,green,desks
29,Peter,has,four,green,windows
30,Lucy,wants,seven,white,desks
31,Peter,got,four,pretty,houses
32,Steven,got,fifteen,old,chairs
33,Allen,got,four,green,desks
34,Peter,sees,twelve,cheap,spoons
35,William,ordered,sixty,cheap,houses
36,Steven,sold,eight,cheap,houses
37,Peter,has,four,green,windows
38,Thomas,sees,three,cheap,rings
39,Rachel,kept,seven,small,rings
40,Thomas,got,twelve,small,toys
41,Thomas,prefers,nineteen,white,spoons
42,Thomas,ordered,two,dark,desks
43,Thomas,prefers,nineteen,white,toys
44,Doris,got,two,green,chairs
45,Thomas,prefers,eight,cheap,toys
46,Peter,kept,three,cheap,sofas
47,Peter,ordered,twelve,red,windows
