,0
0,Rachel sold twelve large spoons_1.mp4
1,Peter has four green windows_1.mp4
2,Lucy sees fifteen green desks_1.mp4
3,Doris kept four red desks_1.mp4
4,Peter sees three green houses_1.mp4
5,Kathy kept three large toys_1.mp4
6,Doris sold three red sofas_1.mp4
7,Thomas sold sixty small rings_1.mp4
8,Nina sold nineteen heavy rings_1.mp4
9,Thomas wants three old sofas_1.mp4
10,Peter has four green windows_1.mp4
11,William got twelve large windows_1.mp4
12,Thomas prefers fifteen pretty rings_1.mp4
13,Allen has eight cheap windows_1.mp4
14,Doris prefers sixty green houses_1.mp4
15,Doris ordered two old toys_1.mp4
16,William kept sixty heavy rings_1.mp4
17,Allen got nineteen heavy toys_1.mp4
18,Rachel got nineteen large spoons_1.mp4
19,Nina prefers four heavy toys_1.mp4
20,Allen sold three dark spoons_1.mp4
21,Peter has three pretty flowers_1.mp4
22,Doris bought seven small windows_1.mp4
23,Doris bought four small houses_1.mp4
24,Peter has sixty heavy houses_1.mp4
25,Kathy prefers four small rings_1.mp4
26,Peter ordered seven old sofas_1.mp4
27,Nina has twelve large desks_1.mp4
28,William gives nineteen dark toys_1.mp4
29,Peter has four green windows_1.mp4
30,Lucy wants seven white desks_1.mp4
31,Thomas ordered seven old desks_1.mp4
32,Kathy prefers two dark flowers_1.mp4
33,Allen got four green desks_1.mp4
34,Peter sees twelve cheap spoons_1.mp4
35,William ordered sixty cheap houses_1.mp4
36,William got twelve large chairs_1.mp4
37,Peter has four green windows_1.mp4
38,Thomas sees three cheap rings_1.mp4
39,Thomas sold fifteen large spoons_1.mp4
40,Peter sees eight red windows_1.mp4
41,Doris ordered fifteen cheap desks_1.mp4
42,Peter gives four cheap tables_1.mp4
43,Lucy has four red desks_1.mp4
44,Doris got two green chairs_1.mp4
45,Lucy has twelve red spoons_1.mp4
46,Peter kept three cheap sofas_1.mp4
47,Rachel sees four old houses_1.mp4
