,0,1,2,3,4
0,Peter,got,twelve,small,houses
1,Steven,prefers,sixty,pretty,sofas
2,Thomas,sold,two,old,chairs
3,Kathy,has,fifteen,heavy,desks
4,Steven,sees,eight,green,sofas
5,Rachel,sold,fifteen,old,rings
6,Kathy,wants,eight,dark,flowers
7,Thomas,sees,three,cheap,spoons
8,Thomas,bought,two,large,chairs
9,Peter,got,four,pretty,houses
10,William,prefers,eight,green,sofas
11,Kathy,got,eight,pretty,rings
12,William,sold,twelve,dark,desks
13,Thomas,sold,two,green,chairs
14,Thomas,got,two,red,spoons
15,Steven,got,fifteen,cheap,sofas
16,Nina,sold,seven,large,windows
17,Kathy,wants,eight,dark,flowers
18,Thomas,prefers,fifteen,large,houses
19,Thomas,prefers,nine,white,tables
20,Peter,kept,fifteen,dark,flowers
21,Nina,wants,two,green,chairs
22,William,got,twelve,cheap,rings
23,Lucy,got,fifteen,large,toys
24,Peter,wants,two,large,toys
25,Rachel,wants,twelve,white,flowers
26,Lucy,got,twelve,green,desks
27,Doris,got,seven,green,tables
28,Rachel,prefers,fifteen,large,houses
29,Kathy,gives,eight,large,spoons
30,Thomas,sees,fifteen,cheap,windows
31,Steven,bought,fifteen,green,tables
32,William,has,three,red,tables
33,William,got,nineteen,pretty,sofas
34,Peter,sees,sixty,old,sofas
35,Thomas,sees,sixty,green,rings
36,Thomas,bought,fifteen,large,tables
37,Peter,bought,nineteen,large,spoons
38,Lucy,wants,twelve,white,tables
39,Kathy,ordered,seven,old,sofas
40,Thomas,wants,seven,green,toys
41,William,sold,eight,green,tables
42,William,sold,twelve,red,sofas
43,Lucy,bought,three,pretty,houses
44,Peter,wants,twelve,old,spoons
45,Peter,gives,twelve,large,spoons
46,Nina,got,nine,pretty,sofas
47,Thomas,kept,three,green,houses
48,Kathy,got,sixty,large,chairs
49,William,got,sixty,old,chairs
50,Kathy,kept,eight,heavy,desks
51,Peter,ordered,fifteen,green,tables
52,Nina,sees,twelve,dark,toys
53,Steven,prefers,sixty,large,houses
54,Thomas,sold,sixty,white,tables
55,William,sold,sixty,red,spoons
56,Peter,got,sixty,large,desks
57,Thomas,got,three,old,desks
58,Kathy,ordered,three,old,desks
59,Steven,got,seven,old,spoons
