,0
0,William ordered three old desks_1.mp4
1,Peter gives fifteen cheap windows_1.mp4
2,Peter got sixty red spoons_1.mp4
3,Allen ordered twelve large desks_1.mp4
4,Peter prefers nineteen dark tables_1.mp4
5,Thomas kept two small spoons_1.mp4
6,Kathy bought eight green flowers_1.mp4
7,Lucy got seven large rings_1.mp4
8,Doris sold twelve old sofas_1.mp4
9,Allen bought nineteen large chairs_1.mp4
10,Nina prefers three red spoons_1.mp4
11,Steven sold twelve large desks_1.mp4
12,Steven got nine large windows_1.mp4
13,Thomas sold two old chairs_1.mp4
14,Doris ordered three red chairs_1.mp4
15,Peter has fifteen dark flowers_1.mp4
16,William bought two heavy windows_1.mp4
17,Kathy sees seven heavy houses_1.mp4
18,Steven gives fifteen white toys_1.mp4
19,Kathy sold twelve green chairs_1.mp4
20,Nina got two heavy tables_1.mp4
21,Rachel bought eight dark windows_1.mp4
22,Allen got sixty cheap toys_1.mp4
23,Nina sees nineteen green houses_1.mp4
24,Peter has fifteen white windows_1.mp4
25,Peter sold four heavy windows_1.mp4
26,Allen sees twelve large chairs_1.mp4
27,Allen kept nine large tables_1.mp4
28,William ordered twelve cheap rings_1.mp4
29,Lucy has four old flowers_1.mp4
30,Kathy sees seven heavy houses_1.mp4
31,Nina gives sixty small desks_1.mp4
32,Lucy has two small flowers_1.mp4
33,William kept three small spoons_1.mp4
34,Steven has four heavy chairs_1.mp4
35,Thomas sees eight green rings_1.mp4
36,Peter sold two large flowers_1.mp4
37,Steven bought four small tables_1.mp4
38,Allen kept seven red houses_1.mp4
39,Kathy got sixty pretty desks_1.mp4
40,Allen wants eight green toys_1.mp4
41,Thomas ordered three old houses_1.mp4
42,Peter bought sixty pretty desks_1.mp4
43,Nina got two heavy tables_1.mp4
44,Rachel bought two large desks_1.mp4
45,Rachel got three small sofas_1.mp4
46,Allen sold sixty pretty chairs_1.mp4
47,Doris kept nineteen cheap spoons_1.mp4
