,Column1,Column2,Column3,Column4,Column5
0,Allen,got,sixty,large,houses
1,Kathy,prefers,two,dark,flowers
2,Thomas,gives,eight,large,tables
3,Allen,ordered,twelve,large,desks
4,Peter,prefers,nineteen,dark,tables
5,Steven,has,nine,red,windows
6,Kathy,bought,eight,green,flowers
7,Doris,sees,seven,large,spoons
8,Rachel,got,nineteen,large,spoons
9,Allen,bought,nineteen,large,chairs
10,Nina,prefers,three,red,spoons
11,Steven,sold,twelve,large,desks
12,Peter,ordered,four,heavy,tables
13,Kathy,ordered,four,cheap,spoons
14,Kathy,prefers,nineteen,old,sofas
15,Peter,has,fifteen,dark,flowers
16,William,bought,two,heavy,windows
17,Kathy,sees,seven,heavy,houses
18,Peter,ordered,seven,old,sofas
19,Lucy,wants,nine,small,flowers
20,Doris,kept,three,pretty,desks
21,Rachel,bought,eight,dark,windows
22,Allen,got,sixty,cheap,toys
23,Steven,prefers,eight,red,chairs
24,Peter,has,fifteen,white,windows
25,Kathy,ordered,twelve,small,desks
26,William,gives,three,dark,sofas
27,William,has,three,small,sofas
28,Peter,got,three,dark,spoons
29,Lucy,has,four,old,flowers
30,Kathy,sees,seven,heavy,houses
31,Nina,gives,sixty,small,desks
32,Doris,bought,four,small,houses
33,Doris,got,two,old,tables
34,Allen,has,fifteen,small,houses
35,Rachel,got,nine,heavy,windows
36,William,has,nineteen,white,desks
37,Steven,bought,four,small,tables
38,Nina,gives,twelve,old,sofas
39,Peter,has,seven,green,tables
40,Steven,sold,fifteen,cheap,rings
41,Thomas,ordered,three,old,houses
42,William,sees,nineteen,white,flowers
43,Lucy,gives,twelve,large,spoons
44,Kathy,prefers,eight,heavy,houses
45,Steven,has,nine,red,windows
46,Allen,sold,sixty,pretty,chairs
47,Kathy,gives,fifteen,green,flowers
