,0
0,mismatch left
1,match right
2,mismatch right
3,mismatch right
4,match right
5,mismatch left
6,mismatch left
7,mismatch right
8,match left
9,match right
10,match right
11,mismatch left
12,match right
13,mismatch right
14,match right
15,match left
16,match left
17,match right
18,mismatch left
19,match left
20,mismatch left
21,mismatch right
22,mismatch right
23,match right
24,match left
25,mismatch left
26,match right
27,match right
28,mismatch right
29,match left
30,mismatch right
31,match left
32,mismatch left
33,match left
34,match left
35,match left
36,match left
37,match right
38,mismatch right
39,mismatch right
40,mismatch right
41,mismatch left
42,mismatch left
43,match right
44,match left
45,mismatch left
46,mismatch left
47,mismatch right
