,0
0,Peter kept nineteen old toys_1.mp4
1,Allen has three large desks_1.mp4
2,Lucy gives seven green sofas_1.mp4
3,Nina ordered fifteen red rings_1.mp4
4,Nina ordered fifteen red rings_1.mp4
5,William has three green tables_1.mp4
6,Kathy got two dark rings_1.mp4
7,Lucy wants sixty small sofas_1.mp4
8,Lucy wants sixty small sofas_1.mp4
9,Doris bought seven small windows_1.mp4
10,Peter sold eight old spoons_1.mp4
11,Steven kept two red chairs_1.mp4
12,Steven kept two red chairs_1.mp4
13,Peter bought two green houses_1.mp4
14,Kathy got seven dark spoons_1.mp4
15,Nina sold nineteen heavy rings_1.mp4
16,Allen ordered fifteen white chairs_1.mp4
17,Allen ordered fifteen white chairs_1.mp4
18,Lucy wants nine white chairs_1.mp4
19,William has three green tables_1.mp4
20,Allen kept nineteen heavy toys_1.mp4
21,Doris bought four small houses_1.mp4
22,Doris bought four small houses_1.mp4
23,Peter gives four cheap tables_1.mp4
24,William got nine red windows_1.mp4
25,William got nine red windows_1.mp4
26,William got nine red windows_1.mp4
27,Peter prefers nine dark rings_1.mp4
28,Thomas sold sixty white flowers_1.mp4
29,Steven ordered fifteen pretty desks_1.mp4
30,Steven ordered fifteen pretty desks_1.mp4
31,Kathy wants nineteen old flowers_1.mp4
32,Allen gives seven cheap chairs_1.mp4
33,Steven prefers eight small spoons_1.mp4
34,Steven prefers eight small spoons_1.mp4
35,Steven has nineteen white windows_1.mp4
36,Steven has nineteen white windows_1.mp4
37,Kathy wants two old windows_1.mp4
38,Kathy wants two old windows_1.mp4
39,Peter wants seven cheap windows_1.mp4
40,Thomas got three old chairs_1.mp4
41,Steven has four red toys_1.mp4
42,Kathy ordered eight large tables_1.mp4
43,Kathy ordered eight large tables_1.mp4
44,Rachel prefers twelve heavy flowers_1.mp4
45,Peter gives fifteen dark windows_1.mp4
46,Doris bought four small houses_1.mp4
47,Thomas got nine large rings_1.mp4
