,0,1,2,3,4
0,Kathy,kept,seven,green,flowers
1,Steven,prefers,fifteen,red,spoons
2,William,gives,fifteen,cheap,windows
3,Doris,sold,nine,dark,tables
4,Steven,ordered,three,large,rings
5,Doris,gives,sixty,large,tables
6,Rachel,prefers,fifteen,large,houses
7,Thomas,kept,eight,green,sofas
8,William,ordered,four,heavy,windows
9,Allen,bought,three,cheap,chairs
10,Kathy,prefers,fifteen,green,tables
11,Rachel,got,nineteen,white,spoons
12,Doris,sees,three,old,desks
13,Nina,ordered,sixty,heavy,sofas
14,Doris,sees,twelve,large,desks
15,Thomas,got,three,dark,windows
16,Lucy,wants,fifteen,small,toys
17,Allen,kept,seven,red,houses
18,Peter,gives,sixty,pretty,rings
19,Peter,ordered,four,white,desks
20,Kathy,bought,fifteen,white,windows
21,Peter,has,nineteen,large,desks
22,Steven,kept,nine,small,spoons
23,Lucy,wants,three,cheap,flowers
24,William,bought,four,red,tables
25,William,has,seven,green,tables
26,Peter,got,four,pretty,houses
27,Kathy,wants,eight,dark,flowers
28,Rachel,kept,eight,large,sofas
29,Thomas,prefers,nine,cheap,spoons
30,Kathy,ordered,three,dark,desks
31,Kathy,got,sixty,pretty,desks
32,Thomas,prefers,eight,cheap,toys
33,Rachel,wants,fifteen,red,windows
34,Nina,gives,two,pretty,rings
35,Rachel,sold,three,red,houses
36,Allen,gives,fifteen,old,desks
37,Kathy,wants,eight,dark,flowers
38,William,sees,sixty,cheap,chairs
39,Lucy,gives,eight,small,houses
40,Peter,gives,fifteen,cheap,windows
41,Allen,bought,twelve,heavy,sofas
42,Peter,has,fifteen,green,rings
43,Kathy,got,seven,large,chairs
44,William,bought,two,green,spoons
45,Allen,wants,nineteen,white,desks
46,Nina,sold,nine,cheap,desks
47,Thomas,got,nine,heavy,sofas
48,William,sees,eight,large,flowers
49,Rachel,kept,nine,pretty,windows
50,Allen,got,nineteen,heavy,desks
51,Kathy,ordered,three,cheap,spoons
52,Lucy,has,four,heavy,windows
53,Peter,bought,four,large,windows
54,Steven,kept,nine,small,spoons
55,Peter,gives,eight,red,houses
56,Allen,sees,three,small,rings
57,Kathy,sold,sixty,cheap,tables
58,Lucy,has,seven,green,toys
59,Rachel,wants,nineteen,red,windows
