,0
0,Peter got nineteen heavy windows_1.mp4
1,Nina sold fifteen old flowers_1.mp4
2,Doris got three old toys_1.mp4
3,Peter prefers four large rings_1.mp4
4,Doris kept nineteen cheap spoons_1.mp4
5,Peter has nineteen white windows_1.mp4
6,Peter gives sixty pretty rings_1.mp4
7,Peter has seven white flowers_1.mp4
8,Allen kept seven red houses_1.mp4
9,Lucy has seven green toys_1.mp4
10,Kathy got three old flowers_1.mp4
11,Peter got fifteen old tables_1.mp4
12,Doris has seven green tables_1.mp4
13,Rachel kept eight large sofas_1.mp4
14,Peter kept two red desks_1.mp4
15,Peter ordered two dark tables_1.mp4
16,Peter gives four green sofas_1.mp4
17,Rachel has nineteen white desks_1.mp4
18,Allen gives fifteen old desks_1.mp4
19,Thomas ordered fifteen red houses_1.mp4
20,Peter got twelve old rings_1.mp4
21,Peter has fifteen green rings_1.mp4
22,Peter got nineteen large desks_1.mp4
23,Allen kept eight red toys_1.mp4
24,Peter kept eight dark toys_1.mp4
25,William prefers three large desks_1.mp4
26,Thomas has three white desks_1.mp4
27,Peter ordered four white desks_1.mp4
28,Allen ordered twelve heavy rings_1.mp4
29,Allen prefers four heavy flowers_1.mp4
30,Peter kept three white desks_1.mp4
31,Steven ordered two dark spoons_1.mp4
32,Doris ordered nineteen white toys_1.mp4
33,Nina sold fifteen large desks_1.mp4
34,Peter kept three large chairs_1.mp4
35,Peter gives twelve small desks_1.mp4
36,Lucy got four heavy toys_1.mp4
37,Thomas has four pretty rings_1.mp4
38,Allen sees four green houses_1.mp4
39,Peter got seven white tables_1.mp4
40,Steven sold fifteen pretty houses_1.mp4
41,Peter bought nineteen dark rings_1.mp4
42,William sees eight large flowers_1.mp4
43,Thomas ordered two dark desks_1.mp4
44,William sees sixty cheap flowers_1.mp4
45,Lucy gives nineteen pretty desks_1.mp4
46,Peter ordered two dark tables_1.mp4
47,Nina got three old houses_1.mp4
