,Column1,Column2,Column3,Column4,Column5
0,William,prefers,sixty,pretty,flowers
1,Nina,sold,fifteen,old,flowers
2,Doris,got,three,old,toys
3,Allen,has,four,green,spoons
4,Nina,got,twelve,pretty,flowers
5,Peter,has,nineteen,white,windows
6,Lucy,has,twelve,red,spoons
7,Peter,has,seven,white,flowers
8,Thomas,bought,twelve,small,flowers
9,Peter,gives,four,cheap,tables
10,Kathy,got,three,old,flowers
11,Doris,kept,four,red,desks
12,Doris,has,seven,green,tables
13,William,bought,two,pretty,houses
14,Kathy,bought,sixty,large,houses
15,Peter,ordered,two,dark,tables
16,Peter,gives,four,green,sofas
17,Allen,sees,three,red,toys
18,Lucy,wants,sixty,small,sofas
19,Lucy,gives,twelve,large,spoons
20,Peter,got,twelve,old,rings
21,Peter,has,fifteen,green,rings
22,Peter,got,nineteen,large,desks
23,William,got,nineteen,pretty,rings
24,Peter,kept,eight,dark,toys
25,William,prefers,three,large,desks
26,Thomas,has,three,white,desks
27,Peter,ordered,four,white,desks
28,Kathy,prefers,two,dark,flowers
29,Allen,prefers,four,heavy,flowers
30,Allen,prefers,four,pretty,chairs
31,William,kept,sixty,heavy,rings
32,Doris,ordered,nineteen,white,toys
33,Rachel,wants,seven,heavy,tables
34,Peter,kept,three,large,chairs
35,Peter,gives,twelve,small,desks
36,Peter,sold,three,large,sofas
37,Kathy,got,seven,red,houses
38,Rachel,got,three,cheap,toys
39,Peter,got,seven,white,tables
40,Steven,sold,fifteen,pretty,houses
41,Steven,prefers,three,red,flowers
42,William,sees,eight,large,flowers
43,Rachel,has,twelve,red,sofas
44,Allen,kept,nineteen,small,rings
45,Lucy,gives,nineteen,pretty,desks
46,Peter,ordered,two,dark,tables
47,Kathy,ordered,four,cheap,spoons
