,0,1,2,3,4
0,Allen,sold,four,large,flowers
1,Peter,got,four,cheap,spoons
2,William,got,fifteen,green,desks
3,Thomas,kept,four,red,desks
4,Peter,sees,three,green,houses
5,Steven,got,three,large,toys
6,Doris,sold,seven,red,sofas
7,Nina,got,twelve,old,chairs
8,Rachel,kept,nineteen,heavy,rings
9,Thomas,wants,three,old,sofas
10,Doris,wants,three,old,tables
11,William,got,twelve,large,windows
12,Thomas,prefers,fifteen,pretty,rings
13,Peter,got,three,pretty,flowers
14,Allen,got,twelve,heavy,rings
15,Steven,sees,four,large,flowers
16,Peter,got,sixty,large,spoons
17,Peter,sold,fifteen,cheap,spoons
18,Kathy,bought,three,red,toys
19,Doris,kept,seven,large,sofas
20,Allen,sold,three,dark,spoons
21,Lucy,got,seven,large,rings
22,Peter,got,twelve,old,desks
23,Doris,got,twelve,cheap,desks
24,Peter,kept,three,heavy,houses
25,Kathy,prefers,four,small,rings
26,Peter,ordered,seven,old,sofas
27,Thomas,wants,four,pretty,rings
28,Peter,got,three,cheap,houses
29,Peter,got,four,pretty,windows
30,Lucy,wants,seven,white,desks
31,Peter,got,four,pretty,houses
32,Steven,got,fifteen,old,chairs
33,Allen,got,four,green,desks
34,Rachel,kept,eight,large,sofas
35,William,ordered,sixty,cheap,houses
36,Steven,sold,eight,cheap,houses
37,Peter,got,four,cheap,houses
38,Thomas,sees,three,cheap,rings
39,Rachel,kept,seven,small,rings
40,Thomas,got,twelve,small,toys
41,Thomas,prefers,nineteen,small,desks
42,Thomas,ordered,two,dark,desks
43,Thomas,prefers,nineteen,white,toys
44,Peter,got,three,white,chairs
45,Thomas,prefers,eight,cheap,toys
46,Peter,ordered,three,cheap,sofas
47,Peter,ordered,twelve,large,windows
