,0,1,2,3,4
0,Doris,sees,three,old,desks
1,Steven,ordered,fifteen,white,spoons
2,Allen,bought,fifteen,small,chairs
3,Peter,wants,four,pretty,rings
4,Kathy,got,three,small,desks
5,Lucy,sold,nine,old,chairs
6,Steven,kept,nine,dark,sofas
7,Lucy,gives,nineteen,pretty,desks
8,Peter,got,seven,white,sofas
9,Allen,sold,sixty,pretty,toys
10,William,ordered,two,old,desks
11,Steven,sold,twelve,large,toys
12,Peter,sold,sixty,white,desks
13,Allen,ordered,twelve,heavy,rings
14,Thomas,prefers,nineteen,small,toys
15,Kathy,wants,eight,dark,flowers
16,Peter,prefers,eight,cheap,chairs
17,Kathy,wants,sixty,small,toys
18,Steven,sees,three,pretty,desks
19,Allen,sold,two,green,chairs
20,Lucy,gives,fifteen,white,sofas
21,Doris,ordered,twelve,old,flowers
22,Allen,has,sixty,large,windows
23,Steven,kept,three,green,chairs
24,Thomas,prefers,nineteen,old,spoons
25,William,has,nine,small,flowers
26,William,sees,twelve,large,desks
27,Allen,sold,fifteen,small,spoons
28,Lucy,ordered,sixty,cheap,chairs
29,Lucy,ordered,four,pretty,sofas
30,Peter,got,nine,dark,spoons
31,Kathy,sold,eight,cheap,houses
32,Lucy,has,nineteen,white,chairs
33,William,kept,two,red,windows
34,Steven,wants,fifteen,heavy,tables
35,Nina,got,twelve,white,toys
36,Thomas,ordered,eight,large,houses
37,William,has,nine,small,flowers
38,Rachel,sold,three,red,windows
39,Thomas,kept,fifteen,dark,windows
40,Nina,ordered,three,heavy,windows
41,Lucy,has,four,old,flowers
42,William,prefers,sixty,small,sofas
43,Doris,ordered,eight,cheap,rings
44,Thomas,has,three,white,desks
45,Nina,wants,nine,cheap,flowers
46,Kathy,prefers,seven,green,rings
47,Rachel,gives,eight,dark,spoons
48,Doris,bought,eight,cheap,houses
49,Steven,sees,eight,cheap,flowers
50,Peter,got,two,small,toys
51,Kathy,has,fifteen,heavy,desks
52,Steven,sold,eight,white,rings
53,Peter,sees,sixty,large,spoons
54,Rachel,kept,seven,green,sofas
55,William,bought,two,heavy,windows
56,Steven,sold,fifteen,pretty,houses
57,Peter,gives,,red,houses
58,Doris,got,seven,cheap,desks
59,Allen,wants,two,white,flowers
