,0
0,William wants sixty pretty chairs_1.mp4
1,Doris got nine old windows_1.mp4
2,Peter ordered fifteen green tables_1.mp4
3,Thomas prefers nineteen white spoons_1.mp4
4,William prefers two small desks_1.mp4
5,Doris has three red toys_1.mp4
6,William got three small toys_1.mp4
7,Rachel sold seven green houses_1.mp4
8,Kathy wants fifteen cheap desks_1.mp4
9,Nina prefers four red windows_1.mp4
10,Doris has three red toys_1.mp4
11,William gives nine green houses_1.mp4
12,Thomas bought sixty white spoons_1.mp4
13,Nina wants two small chairs_1.mp4
14,Peter prefers four green desks_1.mp4
15,Kathy ordered eight old sofas_1.mp4
16,Thomas got twelve small toys_1.mp4
17,Thomas ordered nine heavy sofas_1.mp4
18,William gives nine green houses_1.mp4
19,Nina wants two small chairs_1.mp4
20,Peter has nineteen large desks_1.mp4
21,William ordered sixty cheap toys_1.mp4
22,Allen kept seven red houses_1.mp4
23,Allen sees fifteen red tables_1.mp4
24,Lucy got four pretty sofas_1.mp4
25,Steven sold eight cheap houses_1.mp4
26,Peter bought three cheap rings_1.mp4
27,Thomas sold two old chairs_1.mp4
28,Kathy wants sixty old toys_1.mp4
29,Steven gives nine red desks_1.mp4
30,Allen prefers four heavy flowers_1.mp4
31,Thomas has two pretty flowers_1.mp4
32,Allen bought seven green desks_1.mp4
33,Steven sold eight cheap houses_1.mp4
34,Peter kept three white desks_1.mp4
35,Thomas wants seven green toys_1.mp4
36,Doris has four old sofas_1.mp4
37,Rachel bought eight dark windows_1.mp4
38,Lucy gives eight white desks_1.mp4
39,Doris prefers three red tables_1.mp4
40,Rachel sold seven green houses_1.mp4
41,Lucy ordered four cheap chairs_1.mp4
42,William gives nine green houses_1.mp4
43,Thomas has two pretty flowers_1.mp4
44,Nina sold nineteen dark windows_1.mp4
45,Rachel wants twelve white sofas_1.mp4
46,Thomas wants four pretty rings_1.mp4
47,Steven sold eight cheap houses_1.mp4
