,0
0,Kathy kept seven heavy desks_1.mp4
1,Nina gives two cheap rings_1.mp4
2,Steven has four red toys_1.mp4
3,Peter ordered nineteen large rings_1.mp4
4,Rachel kept eight large chairs_1.mp4
5,Thomas got nine large rings_1.mp4
6,Peter kept nineteen large flowers_1.mp4
7,Allen bought nine pretty sofas_1.mp4
8,Doris has sixty old chairs_1.mp4
9,Allen got nine old sofas_1.mp4
10,Peter ordered nineteen large rings_1.mp4
11,Kathy got seven dark desks_1.mp4
12,Lucy prefers fifteen heavy sofas_1.mp4
13,Doris bought eight cheap chairs_1.mp4
14,Steven sees seven pretty spoons_1.mp4
15,William sold nine red chairs_1.mp4
16,Doris wants two dark tables_1.mp4
17,Nina has sixty cheap flowers_1.mp4
18,Peter ordered four heavy tables_1.mp4
19,Rachel prefers twelve old spoons_1.mp4
20,Lucy gives fifteen pretty rings_1.mp4
21,Thomas got three white flowers_1.mp4
22,Thomas got sixty small desks_1.mp4
23,Thomas prefers seven white desks_1.mp4
24,Doris wants three large flowers_1.mp4
25,Steven bought seven large flowers_1.mp4
26,William ordered seven green sofas_1.mp4
27,Lucy sold nineteen small houses_1.mp4
28,Rachel kept eight large chairs_1.mp4
29,Thomas got two pretty spoons_1.mp4
30,William gives nine cheap flowers_1.mp4
31,Kathy got fifteen small windows_1.mp4
32,Rachel prefers nineteen large tables_1.mp4
33,Allen has nineteen old tables_1.mp4
34,Lucy gives twelve large spoons_1.mp4
35,Nina prefers nineteen small houses_1.mp4
36,Steven got nine heavy rings_1.mp4
37,Allen got nineteen heavy toys_1.mp4
38,Peter got twelve small spoons_1.mp4
39,Steven wants two old sofas_1.mp4
40,Peter bought seven pretty desks_1.mp4
41,Peter sees three large rings_1.mp4
42,Allen kept seven heavy spoons_1.mp4
43,Kathy got sixty red tables_1.mp4
44,Doris prefers eight small desks_1.mp4
45,Peter kept eight green flowers_1.mp4
46,Kathy has nine dark toys_1.mp4
47,Allen got seven heavy desks_1.mp4
