,Column1,Column2,Column3,Column4,Column5
0,Kathy,kept,seven,heavy,desks
1,Doris,got,nine,old,windows
2,Peter,ordered,fifteen,green,tables
3,Thomas,prefers,nineteen,white,spoons
4,Rachel,kept,eight,large,chairs
5,Thomas,got,nine,large,rings
6,Peter,kept,nineteen,large,flowers
7,Allen,bought,nine,pretty,sofas
8,Doris,has,sixty,old,chairs
9,Allen,got,nine,old,sofas
10,Doris,has,three,red,toys
11,William,gives,nine,green,houses
12,Lucy,prefers,fifteen,heavy,sofas
13,Doris,bought,eight,cheap,chairs
14,Steven,sees,seven,pretty,spoons
15,Kathy,ordered,eight,old,sofas
16,Doris,wants,two,dark,tables
17,Thomas,ordered,nine,heavy,sofas
18,Peter,ordered,four,heavy,tables
19,Nina,wants,two,small,chairs
20,Peter,has,nineteen,large,desks
21,Thomas,got,three,white,flowers
22,Thomas,got,sixty,small,desks
23,Thomas,prefers,seven,white,desks
24,Doris,wants,three,large,flowers
25,Steven,bought,seven,large,flowers
26,William,ordered,seven,green,sofas
27,Lucy,sold,nineteen,small,houses
28,Kathy,wants,sixty,old,toys
29,Thomas,got,two,pretty,spoons
30,Allen,prefers,four,heavy,flowers
31,Thomas,has,two,pretty,flowers
32,Allen,bought,seven,green,desks
33,Steven,sold,eight,cheap,houses
34,Lucy,gives,twelve,large,spoons
35,Nina,prefers,nineteen,small,houses
36,Doris,has,four,old,sofas
37,Rachel,bought,eight,dark,windows
38,Lucy,gives,eight,white,desks
39,Doris,prefers,three,red,tables
40,Peter,bought,seven,pretty,desks
41,Peter,sees,three,large,rings
42,Allen,kept,seven,heavy,spoons
43,Kathy,got,sixty,red,tables
44,Doris,prefers,eight,small,desks
45,Peter,kept,eight,green,flowers
46,Kathy,has,nine,dark,toys
47,Steven,sold,eight,cheap,houses
