,0
0,William kept two red windows_1.mp4
1,Allen wants fifteen large houses_1.mp4
2,Thomas got twelve small toys_1.mp4
3,Rachel ordered four pretty spoons_1.mp4
4,Steven prefers four large houses_1.mp4
5,Kathy gives eight large spoons_1.mp4
6,Doris ordered three red chairs_1.mp4
7,Allen prefers four heavy flowers_1.mp4
8,Thomas ordered two small tables_1.mp4
9,Nina wants nine cheap flowers_1.mp4
10,Rachel sees nine pretty desks_1.mp4
11,Peter got seven white tables_1.mp4
12,Doris ordered eight cheap rings_1.mp4
13,William kept three small spoons_1.mp4
14,Nina sees nineteen old chairs_1.mp4
15,Allen gives fifteen cheap flowers_1.mp4
16,Rachel bought eight dark windows_1.mp4
17,Kathy wants two pretty sofas_1.mp4
18,Thomas got twelve small toys_1.mp4
19,Peter sold fifteen cheap spoons_1.mp4
20,Steven bought nine heavy toys_1.mp4
21,Thomas has four pretty rings_1.mp4
22,William sees eight large flowers_1.mp4
23,William wants three pretty desks_1.mp4
24,Steven gives fifteen white toys_1.mp4
25,Rachel ordered twelve cheap tables_1.mp4
26,Allen prefers four heavy flowers_1.mp4
27,Kathy sees four old toys_1.mp4
28,Steven prefers two old rings_1.mp4
29,Doris has sixty dark spoons_1.mp4
30,Thomas bought three red windows_1.mp4
31,Peter sold four large flowers_1.mp4
32,Peter wants nineteen red windows_1.mp4
33,Kathy prefers sixty cheap desks_1.mp4
34,Nina wants nine cheap flowers_1.mp4
35,Peter kept three white desks_1.mp4
36,Lucy wants fifteen small sofas_1.mp4
37,Thomas sees eight green rings_1.mp4
38,Kathy gives nineteen red spoons_1.mp4
39,Peter ordered nine heavy desks_1.mp4
40,Lucy wants three cheap flowers_1.mp4
41,William prefers sixty small sofas_1.mp4
42,Nina sold nineteen dark windows_1.mp4
43,Peter bought nineteen cheap houses_1.mp4
44,William kept nine small windows_1.mp4
45,Steven ordered two dark spoons_1.mp4
46,Doris got four red toys_1.mp4
47,Kathy gives seven old desks_1.mp4
