,Column1,Column2,Column3,Column4,Column5
0,William,got,sixty,dark,chairs
1,Kathy,wants,two,old,windows
2,Kathy,wants,fifteen,green,windows
3,Peter,gives,fifteen,cheap,windows
4,Allen,wants,seven,pretty,windows
5,Allen,has,eight,cheap,windows
6,Peter,gives,fifteen,large,tables
7,Lucy,prefers,four,large,flowers
8,Peter,ordered,twelve,red,windows
9,William,prefers,three,small,houses
10,Thomas,sees,eight,old,toys
11,Allen,kept,three,heavy,desks
12,Nina,has,sixty,cheap,flowers
13,Nina,wants,three,heavy,windows
14,Peter,ordered,three,white,houses
15,Steven,got,eight,dark,chairs
16,Nina,bought,two,large,tables
17,Thomas,prefers,nineteen,white,spoons
18,William,sees,sixty,cheap,chairs
19,Allen,got,two,large,toys
20,Kathy,prefers,four,large,houses
21,Thomas,bought,sixty,white,spoons
22,Rachel,sold,four,old,desks
23,Peter,has,four,green,windows
24,Steven,kept,four,large,tables
25,Peter,kept,sixty,pretty,toys
26,Kathy,ordered,four,white,windows
27,William,sees,nineteen,white,flowers
28,Nina,wants,three,heavy,windows
29,Peter,bought,seven,cheap,flowers
30,Kathy,kept,seven,green,flowers
31,Doris,prefers,three,red,tables
32,Lucy,wants,sixty,small,sofas
33,Peter,has,seven,white,flowers
34,Allen,got,sixty,large,houses
35,Allen,got,four,green,desks
36,William,prefers,two,small,desks
37,Peter,bought,sixty,heavy,chairs
38,Thomas,prefers,nineteen,white,spoons
39,Kathy,prefers,eight,heavy,houses
40,Peter,sold,two,large,flowers
41,Nina,gives,two,pretty,windows
42,Nina,sees,four,large,tables
43,Steven,kept,four,large,tables
44,Lucy,sold,fifteen,red,flowers
45,Peter,got,nineteen,large,desks
46,William,sold,fifteen,small,houses
47,Kathy,got,seven,red,houses
