,0
0,mismatch left
1,match right
2,mismatch left
3,mismatch left
4,match right
5,mismatch right
6,mismatch left
7,mismatch left
8,match left
9,mismatch left
10,match left
11,match left
12,mismatch right
13,mismatch left
14,match left
15,mismatch left
16,mismatch right
17,match left
18,match left
19,mismatch right
20,mismatch right
21,mismatch left
22,mismatch right
23,mismatch right
24,match right
25,match left
26,mismatch right
27,mismatch right
28,match left
29,mismatch right
30,match left
31,match left
32,match right
33,mismatch left
34,match right
35,match right
36,mismatch left
37,match right
38,match left
39,match right
40,mismatch left
41,mismatch right
42,mismatch right
43,match right
44,match right
45,match left
46,match right
47,match right
