,Column1,Column2,Column3,Column4,Column5
0,Thomas,sees,eight,old,toys
1,Steven,sold,twelve,large,desks
2,Allen,kept,nine,white,desks
3,Steven,has,three,pretty,windows
4,Kathy,ordered,seven,cheap,houses
5,Kathy,ordered,seven,cheap,houses
6,Peter,wants,seven,white,spoons
7,Nina,has,sixty,green,desks
8,Lucy,prefers,nineteen,red,sofas
9,Lucy,prefers,nineteen,red,sofas
10,Lucy,prefers,nineteen,red,sofas
11,Rachel,sees,three,pretty,chairs
12,Lucy,got,fifteen,small,flowers
13,Thomas,wants,eight,large,spoons
14,Doris,sold,seven,dark,windows
15,Allen,got,three,cheap,chairs
16,Nina,kept,nine,cheap,houses
17,Nina,kept,nine,cheap,houses
18,Rachel,got,eight,white,desks
19,Steven,sold,fifteen,pretty,houses
20,Peter,ordered,twelve,red,windows
21,Nina,gives,two,cheap,rings
22,Nina,gives,two,cheap,rings
23,Peter,sold,two,white,desks
24,William,gives,nineteen,small,sofas
25,Thomas,wants,three,cheap,spoons
26,Steven,bought,nine,heavy,toys
27,Kathy,prefers,four,large,houses
28,Thomas,got,nine,pretty,sofas
29,Lucy,has,four,white,chairs
30,Allen,kept,seven,red,houses
31,Thomas,prefers,nineteen,white,toys
32,Rachel,sold,fifteen,old,rings
33,Kathy,kept,seven,green,flowers
34,Rachel,got,three,large,chairs
35,Nina,sold,two,heavy,desks
36,Lucy,ordered,twelve,dark,houses
37,Peter,gives,fifteen,cheap,windows
38,William,gives,three,dark,sofas
39,Rachel,sees,nineteen,cheap,toys
40,Kathy,got,seven,red,houses
41,Kathy,got,seven,red,houses
42,Kathy,sees,two,old,sofas
43,Allen,ordered,twelve,heavy,rings
44,Thomas,prefers,nineteen,white,spoons
45,Rachel,kept,eight,large,chairs
46,Rachel,kept,eight,large,chairs
47,Steven,kept,fifteen,small,sofas
