,0
0,Thomas sees eight old toys_1.mp4
1,Steven sold twelve large desks_1.mp4
2,Nina wants two small chairs_1.mp4
3,Peter got fifteen heavy tables_1.mp4
4,William gives twelve red rings_1.mp4
5,Doris sold sixty green spoons_1.mp4
6,Peter wants seven white spoons_1.mp4
7,Nina has sixty green desks_1.mp4
8,William ordered nine dark windows_1.mp4
9,Kathy bought fifteen large toys_1.mp4
10,Kathy got nine dark desks_1.mp4
11,Rachel sees three pretty chairs_1.mp4
12,Lucy got fifteen small flowers_1.mp4
13,Steven prefers two old rings_1.mp4
14,Rachel kept seven small rings_1.mp4
15,Allen got three cheap chairs_1.mp4
16,Rachel sold fifteen old rings_1.mp4
17,William got three dark houses_1.mp4
18,Rachel got eight white desks_1.mp4
19,Steven sold fifteen pretty houses_1.mp4
20,Peter ordered twelve red windows_1.mp4
21,Doris has four old sofas_1.mp4
22,Allen prefers four heavy flowers_1.mp4
23,Lucy ordered three red spoons_1.mp4
24,William gives nineteen small sofas_1.mp4
25,Thomas wants three cheap spoons_1.mp4
26,Steven bought nine heavy toys_1.mp4
27,Thomas sees fifteen cheap windows_1.mp4
28,Thomas got nine pretty sofas_1.mp4
29,Lucy has four white chairs_1.mp4
30,Allen kept seven red houses_1.mp4
31,Thomas prefers nineteen white toys_1.mp4
32,Rachel sold fifteen old rings_1.mp4
33,Kathy kept seven green flowers_1.mp4
34,Rachel got three large chairs_1.mp4
35,Nina sold two heavy desks_1.mp4
36,Lucy ordered twelve dark houses_1.mp4
37,Peter gives fifteen cheap windows_1.mp4
38,Peter wants twelve small tables_1.mp4
39,Lucy has four old flowers_1.mp4
40,Steven bought nine green desks_1.mp4
41,Thomas sold fifteen white spoons_1.mp4
42,Peter got three cheap houses_1.mp4
43,Allen ordered twelve heavy rings_1.mp4
44,Thomas prefers nineteen white spoons_1.mp4
45,Steven bought four small tables_1.mp4
46,Nina kept four pretty houses_1.mp4
47,Steven kept fifteen small sofas_1.mp4
